image_name,psnr,ssim,lpips,mask_psnr,mask_ssim,mask_lpips,time_sec
sd-steps10-sample_01.jpg,21.058487,0.494957,0.186520,15.912773,0.153670,0.058038,7.089
sd-steps10-sample_02.jpg,19.929932,0.817307,0.136909,11.101171,0.323611,0.084719,8.177
sd-steps10-sample_03.jpg,19.628927,0.783184,0.132611,11.477629,0.241754,0.080242,6.664
cn-steps10-sample_01.jpg,21.005180,0.501733,0.182332,15.804282,0.190482,0.056491,8.631
cn-steps10-sample_02.jpg,25.371540,0.854664,0.086497,17.412317,0.631649,0.041604,8.448
cn-steps10-sample_03.jpg,22.190599,0.801885,0.108405,15.009542,0.399795,0.050119,8.750
