image_name,psnr,ssim,lpips,mask_psnr,mask_ssim,mask_lpips,time_sec
sd-steps10-sample_01.jpg,21.310675,0.482504,0.195349,18.187651,0.471002,0.054370,641.229
sd-steps10-sample_02.jpg,24.946465,0.839243,0.103052,18.490021,0.834975,0.034208,778.367
sd-steps10-sample_03.jpg,24.498960,0.814521,0.081997,18.219370,0.716855,0.022719,791.980
cn-steps10-sample_01.jpg,21.336212,0.488744,0.195631,18.336546,0.477605,0.051128,913.021
cn-steps10-sample_02.jpg,26.790743,0.850682,0.088677,21.080008,0.847347,0.025411,937.101
cn-steps10-sample_03.jpg,24.321774,0.818448,0.079777,18.082077,0.724283,0.022938,1162.076
