image_name,psnr,ssim,lpips,mask_psnr,mask_ssim,mask_lpips,time_sec
sd-steps10-sample_01.jpg,21.310675,0.482504,0.195350,18.187645,0.471002,0.054370,15.163
sd-steps10-sample_02.jpg,24.946020,0.839243,0.103054,18.489483,0.834975,0.034211,17.365
sd-steps10-sample_03.jpg,24.498968,0.814521,0.081999,18.219391,0.716857,0.022720,17.187
cn-steps10-sample_01.jpg,21.336210,0.488743,0.195636,18.336529,0.477605,0.051129,20.464
cn-steps10-sample_02.jpg,26.790733,0.850682,0.088676,21.079994,0.847347,0.025409,20.969
cn-steps10-sample_03.jpg,24.321764,0.818448,0.079777,18.082067,0.724284,0.022938,18.270
