image_name,psnr,ssim,lpips,mask_psnr,mask_ssim,mask_lpips,time_sec
sd-steps50-sample_01.jpg,20.880363,0.496016,0.183575,15.469984,0.139559,0.058184,28.073
sd-steps50-sample_02.jpg,20.800030,0.836875,0.111857,12.022530,0.470689,0.062674,32.360
sd-steps50-sample_03.jpg,20.752333,0.795952,0.110168,12.797426,0.309106,0.063319,29.875
cn-steps50-sample_01.jpg,20.982477,0.502859,0.176847,15.703105,0.174947,0.053550,38.342
cn-steps50-sample_02.jpg,25.561638,0.859183,0.082440,17.586086,0.646133,0.039876,46.116
cn-steps50-sample_03.jpg,22.217236,0.806383,0.100427,14.856524,0.389221,0.047581,42.225
